EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AvgSatisfaction,SatGroup,AttrRisk,AttrReason,Recommendations
RM1087,50,46-55,False,Travel_Frequently,Research & Development,22,5,Medical,3,Male,1,4,Research Director,4,Single,14411,10k-15k,1,True,13,3,4,0,32,2,3,32,6,13,9,3.5,High,False,,
RM188,55,46-55,False,Travel_Rarely,Research & Development,14,4,Medical,3,Male,4,5,Research Director,2,Single,18722,15k+,8,False,11,3,4,0,36,3,3,24,15,2,15,3.0,Medium,False,,
RM596,58,55+,True,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,3,5,Research Director,2,Single,19246,15k+,7,True,12,3,4,0,40,2,3,31,15,13,8,3.2,High,False,,
RM179,46,46-55,False,Travel_Rarely,Sales,1,2,Marketing,2,Female,3,3,Sales Executive,1,Divorced,10453,10k-15k,1,False,25,4,3,3,24,2,3,24,13,15,7,2.2,Medium,True,Рівень посади: 3; Стаж на посаді: 13; К-сть років з останнього підвищення: 15,"Спеціалісти Sales Executive 3-го рівня схильні покидати компанію після 6 років на посаді через кар'єрний застій. Варто перевірити можливість кар'єрного зростання для даного працівника, а також переглянути можливість заохочення опціонами/підвищенням."
RM1224,47,46-55,True,Travel_Frequently,Sales,9,3,Life Sciences,3,Male,1,4,Sales Executive,3,Married,12936,10k-15k,7,False,11,3,3,0,25,3,1,23,5,14,10,2.5,Medium,False,,
RM099,58,55+,False,Travel_Rarely,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,13872,10k-15k,0,False,13,3,3,0,38,1,2,37,10,1,8,3.0,Medium,False,,
RM1075,33,26-35,False,Travel_Rarely,Research & Development,8,5,Life Sciences,4,Male,3,2,Healthcare Representative,3,Single,6388,5k-10k,2,True,17,3,1,0,14,6,3,0,0,0,0,2.8,Medium,False,,
RM1288,42,36-45,False,Travel_Rarely,Research & Development,13,3,Medical,2,Male,4,2,Healthcare Representative,1,Married,5538,5k-10k,5,False,18,3,3,2,10,2,2,0,0,0,0,2.0,Low,False,,
RM297,18,18-25,True,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,3,Single,1420,Upto 5k,1,False,13,3,3,0,0,2,3,0,0,0,0,3.0,Medium,False,,
RM829,18,18-25,True,Non-Travel,Research & Development,8,1,Medical,3,Male,3,1,Laboratory Technician,3,Single,1904,Upto 5k,1,False,12,3,4,0,0,0,3,0,0,0,0,3.2,High,False,,
RM973,18,18-25,False,Non-Travel,Research & Development,1,3,Life Sciences,4,Female,3,1,Laboratory Technician,4,Single,1611,Upto 5k,1,False,15,3,3,0,0,5,4,0,0,0,0,3.8,High,False,,
RM110,22,18-25,False,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,Upto 5k,1,False,15,3,3,0,1,5,3,0,0,0,0,3.0,Medium,False,,
RM586,23,18-25,True,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Male,4,1,Laboratory Technician,1,Married,1601,Upto 5k,1,True,21,4,3,2,1,2,3,0,0,0,0,2.5,Medium,False,,
RM1061,24,18-25,True,Travel_Frequently,Research & Development,9,3,Medical,2,Male,3,1,Laboratory Technician,1,Single,3172,Upto 5k,2,True,11,3,3,0,4,2,2,0,0,0,0,2.0,Low,False,,
RM265,28,26-35,True,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Male,3,1,Laboratory Technician,3,Single,3485,Upto 5k,2,False,11,3,3,0,5,5,1,0,0,0,0,2.0,Low,False,,
RM1069,28,26-35,True,Travel_Frequently,Research & Development,2,2,Medical,3,Male,2,1,Laboratory Technician,1,Single,2561,Upto 5k,7,False,11,3,3,0,8,2,2,0,0,0,0,2.2,Medium,False,,
RM003,37,36-45,True,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,Upto 5k,6,True,15,3,2,0,7,3,3,0,0,0,0,3.0,Medium,False,,
RM1203,38,36-45,False,Travel_Rarely,Research & Development,4,2,Medical,4,Female,3,1,Laboratory Technician,3,Married,3306,Upto 5k,7,False,19,3,4,1,7,5,2,0,0,0,0,3.2,High,False,,
RM1326,42,36-45,False,Travel_Rarely,Research & Development,8,3,Life Sciences,4,Male,3,1,Laboratory Technician,3,Single,3968,Upto 5k,4,False,13,3,4,0,8,3,3,0,0,0,0,3.5,High,False,,
RM937,45,36-45,False,Travel_Frequently,Research & Development,25,3,Medical,2,Female,3,5,Manager,2,Single,18061,15k+,3,False,22,4,3,0,22,4,3,0,0,0,0,2.5,Medium,False,,
RM353,48,46-55,False,Travel_Rarely,Sales,29,1,Medical,1,Female,3,3,Manager,3,Married,12504,10k-15k,3,False,21,4,2,1,15,3,1,0,0,0,0,1.8,Low,False,,
RM603,30,26-35,False,Travel_Rarely,Research & Development,2,3,Medical,3,Female,2,2,Manufacturing Director,4,Single,6877,5k-10k,5,True,24,4,2,0,12,4,2,0,0,0,0,2.8,Medium,False,,
RM561,34,26-35,False,Travel_Rarely,Research & Development,8,5,Life Sciences,2,Female,3,2,Manufacturing Director,1,Divorced,5121,5k-10k,3,False,14,3,3,1,7,3,3,0,0,0,0,2.2,Medium,False,,
RM078,45,36-45,False,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,10k-15k,4,True,14,3,2,0,17,3,4,0,0,0,,2.8,Medium,False,,
RM728,18,18-25,False,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,3,1,Research Scientist,4,Single,1051,Upto 5k,1,False,15,3,4,0,0,2,3,0,0,0,0,3.2,High,False,,
RM1312,18,18-25,False,Non-Travel,Research & Development,14,3,Medical,2,Female,3,1,Research Scientist,3,Single,1514,Upto 5k,1,False,16,3,3,0,0,4,1,0,0,0,0,2.2,Medium,False,,
RM024,21,18-25,False,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,Upto 5k,1,False,14,3,4,0,0,6,3,0,0,0,,3.5,High,False,,
RM861,22,18-25,True,Travel_Frequently,Research & Development,3,4,Life Sciences,3,Male,2,1,Research Scientist,4,Married,2853,Upto 5k,0,True,11,3,2,1,1,5,3,0,0,0,0,3.0,Medium,False,,
RM616,27,26-35,False,Non-Travel,Research & Development,3,3,Medical,4,Male,3,1,Research Scientist,4,Married,1706,Upto 5k,1,False,11,3,3,3,0,6,2,0,0,0,0,3.2,High,False,,
RM712,29,26-35,True,Travel_Rarely,Research & Development,10,3,Life Sciences,4,Female,2,1,Research Scientist,1,Single,2404,Upto 5k,6,True,20,4,3,0,3,5,3,0,0,0,0,2.8,Medium,False,,
RM804,34,26-35,False,Non-Travel,Research & Development,3,4,Life Sciences,3,Male,2,1,Research Scientist,4,Married,2979,Upto 5k,3,False,17,3,4,3,6,2,3,0,0,0,0,3.5,High,False,,
RM491,38,36-45,False,Travel_Rarely,Research & Development,1,1,Life Sciences,3,Female,3,1,Research Scientist,1,Single,2619,Upto 5k,3,False,17,3,4,0,8,3,2,0,0,0,0,2.5,Medium,False,,
RM863,44,36-45,False,Non-Travel,Research & Development,17,3,Life Sciences,4,Male,1,1,Research Scientist,3,Single,2290,Upto 5k,2,False,13,3,4,0,6,3,3,0,0,0,0,3.5,High,False,,
RM679,48,46-55,False,Travel_Rarely,Research & Development,20,4,Medical,4,Male,3,1,Research Scientist,3,Married,2259,Upto 5k,4,False,17,3,1,2,13,2,2,0,0,0,0,2.5,Medium,False,,
RM461,26,26-35,False,Travel_Rarely,Sales,29,2,Medical,1,Male,3,2,Sales Executive,3,Divorced,4306,Upto 5k,5,False,12,3,1,2,8,5,3,0,0,0,0,2.0,Low,False,,
RM266,29,26-35,False,Travel_Rarely,Sales,2,3,Medical,1,Male,2,2,Sales Executive,2,Married,6644,5k-10k,2,False,19,3,2,2,10,2,3,0,0,0,0,2.0,Low,False,,
RM1238,32,26-35,True,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,1,2,Sales Executive,2,Single,6735,5k-10k,6,False,15,3,2,0,10,2,3,0,0,0,0,2.0,Low,False,,
RM1320,32,26-35,False,Travel_Frequently,Sales,10,4,Marketing,4,Male,3,2,Sales Executive,4,Single,4648,Upto 5k,8,False,13,3,3,0,4,2,4,0,0,0,0,3.8,High,False,,
RM1256,33,26-35,True,Travel_Rarely,Sales,16,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,8564,5k-10k,2,True,20,4,3,0,11,2,2,0,0,0,0,1.8,Low,False,,
RM867,40,36-45,False,Travel_Frequently,Sales,2,4,Medical,2,Male,3,2,Sales Executive,2,Married,4327,Upto 5k,5,False,12,3,4,3,5,2,3,0,0,0,0,2.8,Medium,False,,
RM1379,42,36-45,False,Travel_Rarely,Sales,12,4,Marketing,2,Male,3,2,Sales Executive,4,Divorced,5087,5k-10k,3,True,12,3,3,2,14,4,3,0,0,0,0,3.0,Medium,False,,
RM802,50,46-55,True,Travel_Frequently,Sales,1,4,Other,4,Male,3,2,Sales Executive,3,Single,4728,Upto 5k,3,True,14,3,4,0,5,4,3,0,0,0,0,3.5,High,False,,
RM1372,56,55+,False,Travel_Rarely,Sales,11,5,Marketing,4,Female,2,2,Sales Executive,1,Married,5380,5k-10k,4,False,16,3,3,1,6,3,3,0,0,0,0,2.8,Medium,False,,
RM302,18,18-25,False,Travel_Rarely,Sales,10,3,Medical,4,Female,2,1,Sales Representative,3,Single,1200,Upto 5k,1,False,12,3,1,0,0,2,3,0,0,0,0,2.8,Medium,False,,
RM458,18,18-25,True,Travel_Frequently,Sales,5,3,Marketing,2,Male,3,1,Sales Representative,2,Single,1878,Upto 5k,1,True,14,3,4,0,0,3,3,0,0,0,0,2.8,Medium,False,,
RM1154,18,18-25,True,Travel_Frequently,Sales,3,2,Medical,2,Female,3,1,Sales Representative,4,Single,1569,Upto 5k,1,True,12,3,3,0,0,2,4,0,0,0,0,3.2,High,False,,
RM128,19,18-25,True,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,Upto 5k,1,True,19,3,4,0,0,2,2,0,0,0,0,3.2,High,False,,
RM172,19,18-25,True,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,2325,Upto 5k,0,False,21,4,1,0,1,5,4,0,0,0,0,2.2,Medium,False,,
RM087,23,18-25,False,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,Upto 5k,3,False,13,3,3,1,3,3,3,0,0,0,0,2.5,Medium,False,,
RM348,47,46-55,False,Travel_Frequently,Sales,4,1,Medical,2,Male,3,2,Sales Representative,3,Single,2976,Upto 5k,3,False,19,3,1,0,5,3,3,0,0,0,0,2.2,Medium,False,,
RM440,31,26-35,True,Travel_Frequently,Research & Development,20,3,Life Sciences,1,Male,3,3,Healthcare Representative,3,Married,9824,5k-10k,3,False,12,3,1,0,12,2,3,1,0,0,0,2.0,Low,False,,
RM373,35,26-35,False,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,2,Healthcare Representative,2,Single,6540,5k-10k,9,False,19,3,3,0,10,5,3,1,1,0,0,2.8,Medium,False,,
RM558,35,26-35,False,Non-Travel,Research & Development,2,4,Life Sciences,4,Female,3,2,Healthcare Representative,1,Divorced,5093,5k-10k,2,False,11,3,1,1,16,2,4,1,0,0,0,2.5,Medium,False,,
RM105,37,36-45,False,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,5k-10k,5,False,14,3,4,1,17,2,4,1,0,0,0,3.8,High,False,,
RM745,37,36-45,True,Travel_Rarely,Research & Development,11,2,Medical,1,Female,1,2,Healthcare Representative,2,Married,4777,Upto 5k,5,False,15,3,1,0,15,2,1,1,0,0,0,1.2,Low,False,,
RM205,38,36-45,True,Travel_Rarely,Research & Development,29,1,Medical,2,Male,3,2,Healthcare Representative,1,Married,6673,5k-10k,7,True,19,3,2,0,17,2,3,1,0,0,0,2.0,Low,False,,
RM472,38,36-45,False,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,2,Healthcare Representative,3,Married,9824,5k-10k,3,False,19,3,3,1,18,4,3,1,0,0,0,3.0,Medium,False,,
RM1262,38,36-45,False,Travel_Rarely,Research & Development,18,3,Medical,2,Male,1,2,Healthcare Representative,4,Married,5811,5k-10k,3,True,16,3,3,1,15,2,3,1,0,1,0,3.0,Medium,False,,
RM357,42,36-45,False,Travel_Rarely,Research & Development,2,4,Other,1,Male,2,2,Healthcare Representative,4,Single,6781,5k-10k,3,False,23,4,2,0,14,6,3,1,0,0,0,2.5,Medium,False,,
RM334,43,36-45,False,Travel_Rarely,Research & Development,7,3,Life Sciences,3,Female,3,3,Healthcare Representative,1,Married,9985,5k-10k,8,False,16,3,1,1,10,1,2,1,0,0,0,1.8,Low,False,,
RM1210,60,55+,False,Travel_Rarely,Research & Development,1,4,Medical,3,Male,1,3,Healthcare Representative,4,Divorced,10883,10k-15k,3,False,20,4,3,1,19,2,4,1,0,0,0,3.5,High,False,,
RM423,19,18-25,True,Travel_Rarely,Human Resources,2,2,Technical Degree,1,Male,2,1,Human Resources,4,Single,2564,Upto 5k,1,False,12,3,3,0,1,3,4,1,0,0,0,3.0,Medium,False,,
RM1223,24,18-25,True,Travel_Rarely,Human Resources,22,1,Human Resources,4,Male,1,1,Human Resources,3,Married,1555,Upto 5k,1,False,11,3,3,1,1,2,3,1,0,0,0,3.2,High,False,,
RM1380,27,26-35,True,Travel_Frequently,Human Resources,22,3,Human Resources,1,Female,2,1,Human Resources,2,Married,2863,Upto 5k,1,False,12,3,1,0,1,2,3,1,0,0,0,1.8,Low,False,,
RM1330,29,26-35,False,Travel_Rarely,Human Resources,6,1,Medical,4,Male,2,1,Human Resources,2,Married,2804,Upto 5k,1,False,11,3,4,0,1,3,3,1,0,0,0,3.2,High,True,Стаж на посаді: 0; Вік: 29; Дохід: 2804; Загальний робочий стаж: 1,"Працівники Human Resources з меншим трудовим стажем схильні покинути компанію у перший рік. Варто перевірити задоволеність працівника, рівень продуктивності і дізнатися про його перспективи."
RM1313,31,26-35,True,Travel_Rarely,Human Resources,18,5,Human Resources,4,Male,4,1,Human Resources,1,Married,2956,Upto 5k,0,False,17,3,3,0,2,4,3,1,0,0,0,2.8,Medium,False,,
RM150,19,18-25,False,Travel_Rarely,Research & Development,3,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,1483,Upto 5k,1,False,14,3,4,0,1,3,3,1,0,0,0,2.8,Medium,False,,
RM178,19,18-25,True,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,2,1,Laboratory Technician,4,Single,1102,Upto 5k,1,False,22,4,3,0,1,3,2,1,0,1,0,2.8,Medium,False,,
RM103,20,18-25,True,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,Upto 5k,1,True,18,3,2,0,1,5,3,1,0,1,0,3.2,High,False,,
RM690,20,18-25,True,Travel_Rarely,Research & Development,4,3,Technical Degree,1,Male,3,1,Laboratory Technician,1,Single,2973,Upto 5k,1,False,19,3,2,0,1,2,3,1,0,0,0,1.8,Low,False,,
RM778,21,18-25,True,Travel_Rarely,Research & Development,10,3,Life Sciences,3,Female,2,1,Laboratory Technician,1,Single,1416,Upto 5k,1,False,13,3,1,0,1,6,2,1,0,1,0,1.8,Low,False,,
RM018,22,18-25,False,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,Upto 5k,1,True,13,3,2,2,1,2,2,1,0,0,0,3.0,Medium,True,Стаж на посаді: 0; Вік: 22; Дохід: 2935; Працює понаднормово,Посада Laboratory Technician характеризується високим рівнем відтоку у перший рік роботи. Варто перевірити робоче навантаження та конпенсацію.
RM1274,22,18-25,True,Travel_Rarely,Research & Development,8,1,Medical,3,Female,3,1,Laboratory Technician,1,Married,2398,Upto 5k,1,True,17,3,3,0,1,6,3,1,0,0,0,2.5,Medium,False,,
RM477,24,18-25,False,Travel_Rarely,Research & Development,17,2,Other,4,Male,2,1,Laboratory Technician,2,Married,2127,Upto 5k,1,False,21,4,4,1,1,2,3,1,0,0,0,3.2,High,False,,
RM587,24,18-25,False,Non-Travel,Research & Development,9,3,Life Sciences,3,Male,2,1,Laboratory Technician,2,Divorced,2694,Upto 5k,1,False,11,3,3,3,1,4,3,1,0,0,0,2.8,Medium,False,,
RM872,24,18-25,True,Travel_Rarely,Research & Development,17,2,Life Sciences,4,Female,3,1,Laboratory Technician,2,Married,2210,Upto 5k,1,False,13,3,1,1,1,3,1,1,0,0,0,2.0,Low,False,,
RM1098,24,18-25,False,Travel_Rarely,Research & Development,21,2,Technical Degree,3,Male,2,1,Laboratory Technician,1,Divorced,2296,Upto 5k,0,False,14,3,2,3,2,3,3,1,1,0,0,2.2,Medium,False,,
RM043,26,26-35,True,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,Upto 5k,1,False,12,3,3,0,1,2,2,1,0,0,1,2.2,Medium,False,,
RM464,26,26-35,True,Travel_Rarely,Research & Development,24,3,Technical Degree,3,Male,1,1,Laboratory Technician,4,Single,2340,Upto 5k,1,True,18,3,2,0,1,3,1,1,0,0,0,2.5,Medium,False,,
RM798,26,26-35,True,Travel_Rarely,Research & Development,21,3,Medical,1,Male,3,1,Laboratory Technician,3,Divorced,2377,Upto 5k,1,False,20,4,3,1,1,0,2,1,1,0,0,2.2,Medium,False,,
RM042,27,26-35,False,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,Upto 5k,1,False,13,3,4,1,1,6,3,1,0,0,0,3.0,Medium,False,,
RM801,28,26-35,True,Travel_Frequently,Research & Development,1,3,Medical,1,Male,2,1,Laboratory Technician,2,Divorced,2596,Upto 5k,1,False,15,3,1,2,1,2,3,1,0,0,0,1.8,Low,False,,
RM843,28,26-35,True,Travel_Rarely,Research & Development,12,1,Life Sciences,3,Female,3,1,Laboratory Technician,4,Married,2515,Upto 5k,1,True,11,3,4,0,1,4,2,1,1,0,0,3.2,High,False,,
RM1137,28,26-35,True,Travel_Rarely,Research & Development,24,3,Medical,3,Male,3,1,Laboratory Technician,2,Married,2408,Upto 5k,1,True,17,3,3,3,1,3,3,1,1,0,0,2.8,Medium,False,,
RM590,29,26-35,True,Travel_Rarely,Research & Development,1,2,Life Sciences,2,Female,2,1,Laboratory Technician,1,Married,2319,Upto 5k,1,True,11,3,4,1,1,1,3,1,0,0,0,2.5,Medium,False,,
RM008,30,26-35,False,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,Upto 5k,1,False,22,4,2,1,1,2,3,1,0,0,,3.0,Medium,False,,
RM1403,31,26-35,False,Travel_Rarely,Research & Development,2,1,Medical,4,Female,1,1,Laboratory Technician,4,Divorced,1129,Upto 5k,1,True,11,3,3,3,1,4,3,1,0,0,0,3.5,High,True,Стаж на посаді: 0; Вік: 31; Дохід: 1129; Працює понаднормово,Посада Laboratory Technician характеризується високим рівнем відтоку у перший рік роботи. Варто перевірити робоче навантаження та конпенсацію.
RM657,32,26-35,True,Travel_Rarely,Research & Development,25,4,Life Sciences,1,Male,3,1,Laboratory Technician,4,Single,2795,Upto 5k,1,True,24,4,3,0,1,2,1,1,0,0,1,2.2,Medium,False,,
RM1206,32,26-35,True,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,3,1,Laboratory Technician,2,Single,1393,Upto 5k,1,False,12,3,1,0,1,2,3,1,0,0,0,2.5,Medium,False,,
RM031,33,26-35,False,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,Upto 5k,4,False,11,3,4,0,7,3,3,1,1,0,,3.5,High,False,,
RM1416,33,26-35,False,Non-Travel,Research & Development,1,2,Medical,2,Male,2,1,Laboratory Technician,3,Divorced,2008,Upto 5k,1,False,12,3,3,3,1,2,2,1,1,0,0,2.5,Medium,False,,
RM672,34,26-35,False,Travel_Rarely,Research & Development,10,3,Life Sciences,2,Male,3,1,Laboratory Technician,2,Divorced,2008,Upto 5k,1,False,14,3,2,2,1,3,3,1,0,1,0,2.2,Medium,False,,
RM041,35,26-35,False,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,Upto 5k,1,False,12,3,3,1,1,3,3,1,0,0,0,3.2,High,False,,
